"osm_id","name","access","addr:city","addr:country","addr:housenumber","addr:postcode","addr:state","addr:street","addr:unit","amenity","amenity_1","amenity_2","amenity_3","atm","attribution","brand","brand:website","brand:wikidata","building","car_wash","check_date","compressed_air","cuisine","dataset","dcgis:full_service","dcgis:gis_id","description","ele","fuel:NONE","fuel:diesel","fuel:e10","fuel:electricity","fuel:gasoline","fuel:gasoline_87","fuel:gasoline_89","fuel:gasoline_93","fuel:kerosene","fuel:octane_87","fuel:octane_89","fuel:octane_91","fuel:octane_93","fuel:octane_95","fuel:propane","fuel:propane_tank","full_service","gas","highway","internet","internet_access","layer","level","name:en","note","official_name","old_name","opening_hours","operator","payment:american_express","payment:apple_pay","payment:cash","payment:credit_cards","payment:debit_cards","payment:discover_card","payment:exxonmobil_fleet","payment:google_pay","payment:mastercard","payment:unionpay","payment:visa","phone","ref","restaurant","restroom","self_service","service:vehicle:car_repair","shop","source","toilets","vacuum_cleaner","website","wheelchair","wpt_description","LON","LAT"
"299794273","Duke Street Liberty",NA,"Alexandria",NA,"5412","22304","VA","Duke Street",NA,"fuel",NA,NA,NA,NA,NA,"Liberty",NA,"Q96781174",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO DIESEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"car_repair",NA,NA,"yes",NA,NA,NA,"-77.1258168","38.8126769"
"299794335","Exxon",NA,"Lincolnia",NA,"6261","22312","VA","Little River Turnpike",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/7",NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"+1 703-752-5875","200312517",NA,NA,"yes",NA,NA,NA,"yes",NA,"https://www.exxon.com/en/find-station/exxon-alexandria-va-lincolniaexxon-200312517","yes",NA,"-77.1424937","38.8175991"
"299794336","Sunoco",NA,"Alexandria",NA,"6300","22312","VA","Little River Turnpike",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Store #0896047802",NA,NA,"Tu 00:00-23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"-77.1436155","38.8187069"
"299794451","Yates Automotive",NA,"Alexandria",NA,"317","22301","VA","East Braddock Road",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Store #0348351803",NA,NA,"Tu 07:00-20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"survey",NA,NA,NA,NA,NA,"-77.0566496","38.8135707"
"299794459","Shell",NA,"Alexandria",NA,"442","22314","VA","North Henry Street",NA,"fuel","compressed_air",NA,NA,NA,NA,"Shell",NA,"Q110716465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Sa 06:00-22:00; Su 07:00-21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1 703-683-0794",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://find.shell.com/us/fuel/12660090-442-n-henry-st/en_US",NA,NA,"-77.0506021","38.8099812"
"299794479","Old Town Mart",NA,"Alexandria",NA,"834","22314","VA","North Washington Street",NA,"fuel",NA,NA,NA,NA,NA,"Mobil",NA,"Q109676002",NA,NA,NA,NA,NA,NA,NA,NA,"NO DIESEL",NA,NA,"no",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.exxon.com/en/find-station/alexandria-va-oldtownmart-200326845",NA,NA,"-77.0453786","38.8139433"
"299794506","Shell",NA,"Alexandria",NA,"801","22314","VA","North Washington Street","A","fuel","compressed_air",NA,NA,NA,NA,"Shell",NA,"Q110716465",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1 703-549-1782",NA,NA,NA,NA,NA,NA,"knowledge",NA,NA,"https://find.shell.com/us/fuel/12458947-801-n-washington-st/en_US",NA,NA,"-77.0449183","38.8132473"
"299794534","Liberty",NA,"Alexandria",NA,"725","22314","VA","North Washington Street",NA,"fuel",NA,NA,NA,NA,NA,"Liberty",NA,"Q96781174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"knowledge",NA,NA,NA,NA,NA,"-77.044957","38.812518"
"299794542","Exxon",NA,"Alexandria","US","703","22314","VA","North Washington Street",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,"no",NA,"yes",NA,NA,NA,NA,NA,NA,NA,"yes","yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Su 07:00-21:00",NA,NA,"yes",NA,NA,NA,NA,"yes","yes",NA,NA,NA,"+1 703-549-0854","200309410",NA,NA,"yes",NA,NA,NA,"yes","yes","https://www.exxon.com/en/find-station/exxon-alexandria-va-alexandriaexxon-200309410",NA,NA,"-77.045106","38.812123"
"309522679","Sunoco",NA,"Arlington","US","1830","22209","VA","Fort Myer Drive",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"Sunoco #0794835900",NA,"Tu 06:00-23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1 301-972-4116","0794835900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.0726494","38.8963749"
